n_qubits,n_candidates,n_successes,success_fraction,classical_expected_queries,classical_median_queries_mc,classical_p95_queries_mc,grover_iterations,grover_success_probability,quantum_expected_verifier_calls,speedup_expected_queries,analytic_success_probability
8,256,1,0.00390625,256.0,179.0,772.0499999999993,12,0.9999470421032738,13.000688489118376,19.691264829110622,0.9999470421032736
8,256,4,0.015625,64.0,45.0,191.0,6,0.996585680786799,7.02398211709558,9.111640510050734,0.9965856807867991
8,256,16,0.0625,16.0,11.0,47.0,3,0.9613189697265625,4.160949826193235,3.84527587890625,0.9613189697265625
10,1024,1,0.0009765625,1024.0,712.5,3074.199999999997,25,0.9994612447444077,26.01401518740127,39.36339671608744,0.9994612447444079
10,1024,4,0.00390625,256.0,180.0,757.0,12,0.9999470421032738,13.000688489118376,19.691264829110622,0.9999470421032736
10,1024,16,0.015625,64.0,44.0,192.0,6,0.996585680786799,7.02398211709558,9.111640510050734,0.9965856807867991
12,4096,1,0.000244140625,4096.0,2853.0,12080.099999999999,50,0.9999453461091229,51.002787500782496,80.3093360326072,0.9999453461091142
12,4096,4,0.0009765625,1024.0,714.0,3109.0499999999993,25,0.9994612447444075,26.014015187401277,39.36339671608743,0.9994612447444079
12,4096,16,0.00390625,256.0,179.0,769.0,12,0.9999470421032738,13.000688489118376,19.691264829110622,0.9999470421032736
14,16384,1,6.103515625e-05,16384.0,11194.0,49424.64999999998,100,0.9999997811142225,101.00002210746837,162.21778627500416,0.9999997811142307
14,16384,4,0.000244140625,4096.0,2851.0,12308.05,50,0.9999453461091229,51.002787500782496,80.3093360326072,0.9999453461091142
14,16384,16,0.0009765625,1024.0,712.0,3070.149999999998,25,0.9994612447444075,26.014015187401277,39.36339671608743,0.9994612447444079
16,65536,1,1.52587890625e-05,65536.0,45156.5,198157.19999999998,201,0.9999882596461666,202.00237157931753,324.4318345751048,0.9999882596461666
16,65536,4,6.103515625e-05,16384.0,11302.5,49135.19999999998,100,0.9999997811142234,101.00002210746828,162.2177862750043,0.9999997811142307
16,65536,16,0.000244140625,4096.0,2814.5,12265.0,50,0.9999453461091229,51.002787500782496,80.3093360326072,0.9999453461091142
