n_bits,n_candidates,n_ground_states,anneal_time,n_time_steps,ground_state_probability,final_expected_energy,norm_error
8,256,6,0.5,160,0.028523261331901653,2.8247893571153146,2.220446049250313e-16
8,256,6,1.0,160,0.04566265563383301,2.420633881933687,2.220446049250313e-16
8,256,6,2.0,160,0.11931182745908231,1.7126874743324796,0.0
8,256,6,4.0,160,0.310914056236404,1.0170286645714026,0.0
8,256,6,8.0,160,0.6025469059976358,0.4683696564137688,0.0
